name,url,tripadvisor_id,num_reviews
Estufa Fria,https://www.tripadvisor.com/Attraction_Review-g189158-d245800-Reviews-Estufa_Fria-Lisbon_Lisbon_District_Central_Portugal.html,245800,624
Museu Nacional De Arte Antiga,https://www.tripadvisor.com/Attraction_Review-g189158-d195736-Reviews-Museu_Nacional_De_Arte_Antiga-Lisbon_Lisbon_District_Central_Portugal.html,195736,1327
Museu de Marinha,https://www.tripadvisor.com/Attraction_Review-g189158-d2407195-Reviews-Museu_de_Marinha-Lisbon_Lisbon_District_Central_Portugal.html,2407195,1354
LX Factory,https://www.tripadvisor.com/Attraction_Review-g189158-d6558650-Reviews-LX_Factory-Lisbon_Lisbon_District_Central_Portugal.html,6558650,2881
Museu Nacional Dos Coches,https://www.tripadvisor.com/Attraction_Review-g189158-d12207582-Reviews-Museu_Nacional_Dos_Coches-Lisbon_Lisbon_District_Central_Portugal.html,12207582,1968
Panteao Nacional,https://www.tripadvisor.com/Attraction_Review-g189158-d195777-Reviews-Panteao_Nacional-Lisbon_Lisbon_District_Central_Portugal.html,195777,1246
Miradouro da Graca (Sophia de Mello Breyner Andresen),https://www.tripadvisor.com/Attraction_Review-g189158-d4009718-Reviews-Miradouro_da_Graca_Sophia_de_Mello_Breyner_Andresen-Lisbon_Lisbon_District_Centra.html,4009718,2682
Church of St. Anthony,https://www.tripadvisor.com/Attraction_Review-g189158-d243622-Reviews-Church_of_St_Anthony-Lisbon_Lisbon_District_Central_Portugal.html,243622,1718
Ah Amália - Living Experience,https://www.tripadvisor.com/Attraction_Review-g189158-d27690135-Reviews-Ah_Amalia_Living_Experience-Lisbon_Lisbon_District_Central_Portugal.html,27690135,181
Mosteiro de São Vicente de Fora,https://www.tripadvisor.com/Attraction_Review-g189158-d6215707-Reviews-Mosteiro_de_Sao_Vicente_de_Fora-Lisbon_Lisbon_District_Central_Portugal.html,6215707,715
Praça Dom Pedro IV,https://www.tripadvisor.com/Attraction_Review-g189158-d195644-Reviews-Praca_Dom_Pedro_IV-Lisbon_Lisbon_District_Central_Portugal.html,195644,2160
Bica Funicular,https://www.tripadvisor.com/Attraction_Review-g189158-d1777707-Reviews-Bica_Funicular-Lisbon_Lisbon_District_Central_Portugal.html,1777707,959
Estação Do Rossio,https://www.tripadvisor.com/Attraction_Review-g189158-d4053333-Reviews-Estacao_Do_Rossio-Lisbon_Lisbon_District_Central_Portugal.html,4053333,2097
Livraria Ler Devagar,https://www.tripadvisor.com/Attraction_Review-g189158-d6889504-Reviews-Livraria_Ler_Devagar-Lisbon_Lisbon_District_Central_Portugal.html,6889504,219
Lisbon Cathedral,https://www.tripadvisor.com/Attraction_Review-g189158-d23804944-Reviews-Lisbon_Cathedral-Lisbon_Lisbon_District_Central_Portugal.html,23804944,2149
Palace Fronteira,https://www.tripadvisor.com/Attraction_Review-g189158-d521857-Reviews-Palace_Fronteira-Lisbon_Lisbon_District_Central_Portugal.html,521857,466
Miradouro Das Portas Do Sol,https://www.tripadvisor.com/Attraction_Review-g189158-d8754881-Reviews-Miradouro_Das_Portas_Do_Sol-Lisbon_Lisbon_District_Central_Portugal.html,8754881,535
Igreja De S Domingos,https://www.tripadvisor.com/Attraction_Review-g189158-d3876940-Reviews-Igreja_De_S_Domingos-Lisbon_Lisbon_District_Central_Portugal.html,3876940,1029
El Corte Ingles,https://www.tripadvisor.com/Attraction_Review-g189158-d8489683-Reviews-El_Corte_Ingles-Lisbon_Lisbon_District_Central_Portugal.html,8489683,784
Museu Medeiros E Almeida,https://www.tripadvisor.com/Attraction_Review-g189158-d1973832-Reviews-Museu_Medeiros_E_Almeida-Lisbon_Lisbon_District_Central_Portugal.html,1973832,250
Estação do Oriente,https://www.tripadvisor.com/Attraction_Review-g189158-d524075-Reviews-Estacao_do_Oriente-Lisbon_Lisbon_District_Central_Portugal.html,524075,799
Estádio José Alvalade,https://www.tripadvisor.com/Attraction_Review-g189158-d10771528-Reviews-Estadio_Jose_Alvalade-Lisbon_Lisbon_District_Central_Portugal.html,10771528,457
Baixa de Lisboa,https://www.tripadvisor.com/Attraction_Review-g189158-d195314-Reviews-Baixa_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,195314,585
Museu do Aljube - Resistência e Liberdade,https://www.tripadvisor.com/Attraction_Review-g189158-d8378896-Reviews-Museu_do_Aljube_Resistencia_e_Liberdade-Lisbon_Lisbon_District_Central_Portugal.html,8378896,319
Lisboa Story Centre,https://www.tripadvisor.com/Attraction_Review-g189158-d3928986-Reviews-Lisboa_Story_Centre-Lisbon_Lisbon_District_Central_Portugal.html,3928986,928
Royal Treasure Museum,https://www.tripadvisor.com/Attraction_Review-g189158-d24153846-Reviews-Royal_Treasure_Museum-Lisbon_Lisbon_District_Central_Portugal.html,24153846,217
Marques Do Pombal,https://www.tripadvisor.com/Attraction_Review-g189158-d4053329-Reviews-Marques_Do_Pombal-Lisbon_Lisbon_District_Central_Portugal.html,4053329,942
Museu do Fado,https://www.tripadvisor.com/Attraction_Review-g189158-d285684-Reviews-Museu_do_Fado-Lisbon_Lisbon_District_Central_Portugal.html,285684,634
Planetário de Marinha,https://www.tripadvisor.com/Attraction_Review-g189158-d243621-Reviews-Planetario_de_Marinha-Lisbon_Lisbon_District_Central_Portugal.html,243621,111
Miradouro de Santa Catarina,https://www.tripadvisor.com/Attraction_Review-g189158-d2353623-Reviews-Miradouro_de_Santa_Catarina-Lisbon_Lisbon_District_Central_Portugal.html,2353623,531
Jardim Da Estrela Park,https://www.tripadvisor.com/Attraction_Review-g189158-d6514279-Reviews-Jardim_Da_Estrela_Park-Lisbon_Lisbon_District_Central_Portugal.html,6514279,370
Basílica da Estrela,https://www.tripadvisor.com/Attraction_Review-g189158-d1961227-Reviews-Basilica_da_Estrela-Lisbon_Lisbon_District_Central_Portugal.html,1961227,706
Rua dos Correeiros Archaeological Nucleus,https://www.tripadvisor.com/Attraction_Review-g189158-d2412618-Reviews-Rua_dos_Correeiros_Archaeological_Nucleus-Lisbon_Lisbon_District_Central_Portugal.html,2412618,145
Usaxe Club,https://www.tripadvisor.com/Attraction_Review-g189158-d21319294-Reviews-Usaxe_Club-Lisbon_Lisbon_District_Central_Portugal.html,21319294,762
Convento do Carmo,https://www.tripadvisor.com/Attraction_Review-g189158-d21211618-Reviews-Convento_do_Carmo-Lisbon_Lisbon_District_Central_Portugal.html,21211618,113
Cemiterio dos Prazeres,https://www.tripadvisor.com/Attraction_Review-g189158-d3856170-Reviews-Cemiterio_dos_Prazeres-Lisbon_Lisbon_District_Central_Portugal.html,3856170,274
Centro Cultural de Belem - CCB,https://www.tripadvisor.com/Attraction_Review-g189158-d243611-Reviews-Centro_Cultural_de_Belem_CCB-Lisbon_Lisbon_District_Central_Portugal.html,243611,431
Igreja de São Vicente de Fora,https://www.tripadvisor.com/Attraction_Review-g189158-d243613-Reviews-Igreja_de_Sao_Vicente_de_Fora-Lisbon_Lisbon_District_Central_Portugal.html,243613,617
Largo do Carmo,https://www.tripadvisor.com/Attraction_Review-g189158-d7620473-Reviews-Largo_do_Carmo-Lisbon_Lisbon_District_Central_Portugal.html,7620473,358
Museu Militar de Lisboa,https://www.tripadvisor.com/Attraction_Review-g189158-d243615-Reviews-Museu_Militar_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,243615,264
